iter	Passed	Remaining
693	3148	1388
694	3152	1383
695	3157	1379
696	3162	1374
697	3167	1370
698	3171	1365
699	3176	1361
700	3180	1356
701	3184	1351
702	3189	1347
703	3193	1342
704	3198	1338
705	3202	1333
706	3206	1328
707	3211	1324
708	3215	1319
709	3219	1315
710	3224	1310
711	3228	1306
712	3233	1301
713	3237	1296
714	3242	1292
715	3247	1287
716	3251	1283
717	3255	1278
718	3260	1274
719	3265	1269
720	3269	1265
721	3274	1260
722	3278	1256
723	3283	1251
724	3288	1247
725	3292	1242
726	3297	1238
727	3301	1233
728	3306	1229
729	3311	1224
730	3315	1220
731	3320	1215
732	3325	1211
733	3331	1207
734	3338	1203
735	3344	1199
736	3349	1195
737	3355	1191
738	3360	1187
739	3366	1182
740	3372	1178
741	3377	1174
742	3383	1170
743	3389	1166
744	3395	1162
745	3402	1158
746	3407	1154
747	3412	1149
748	3417	1145
749	3424	1141
750	3429	1137
751	3434	1132
752	3439	1128
753	3443	1123
754	3447	1118
755	3452	1114
756	3456	1109
757	3461	1105
758	3465	1100
759	3470	1095
760	3474	1091
761	3479	1086
762	3484	1082
763	3488	1077
764	3493	1073
765	3497	1068
766	3502	1064
767	3506	1059
768	3511	1054
769	3515	1050
770	3520	1045
771	3524	1040
772	3529	1036
773	3533	1031
774	3538	1027
775	3542	1022
776	3547	1018
777	3551	1013
778	3556	1008
779	3560	1004
780	3565	999
781	3569	995
782	3574	990
783	3579	986
784	3583	981
785	3588	977
786	3593	972
787	3597	967
788	3602	963
789	3607	958
790	3612	954
791	3617	950
792	3622	945
793	3627	941
794	3632	936
795	3638	932
796	3643	928
797	3648	923
798	3654	919
799	3659	914
800	3664	910
801	3669	905
802	3673	901
803	3678	896
804	3683	892
805	3689	887
806	3694	883
807	3699	879
808	3705	874
809	3711	870
810	3716	866
811	3721	861
812	3727	857
813	3732	852
814	3737	848
815	3743	844
816	3748	839
817	3754	835
818	3758	830
819	3763	826
820	3770	822
821	3775	817
822	3780	813
823	3785	808
824	3789	803
825	3794	799
826	3799	794
827	3804	790
828	3808	785
829	3813	781
830	3818	776
831	3822	771
832	3827	767
833	3832	762
834	3837	758
835	3841	753
836	3847	749
837	3852	744
838	3857	740
839	3863	735
840	3869	731
841	3874	727
842	3881	722
843	3886	718
844	3892	713
845	3897	709
846	3902	704
847	3906	700
848	3911	695
849	3916	691
850	3920	686
851	3925	681
852	3930	677
853	3935	672
854	3940	668
855	3945	663
856	3950	659
857	3955	654
858	3960	650
859	3964	645
860	3969	640
861	3974	636
862	3979	631
863	3984	627
864	3989	622
865	3994	618
866	3999	613
867	4004	608
868	4009	604
869	4013	599
870	4019	595
871	4024	590
872	4029	586
873	4034	581
874	4040	577
875	4045	572
876	4050	568
877	4055	563
878	4061	559
879	4066	554
880	4071	549
881	4076	545
882	4081	540
883	4086	536
884	4091	531
885	4095	527
886	4100	522
887	4104	517
888	4109	513
889	4114	508
890	4118	503
891	4123	499
892	4128	494
893	4133	490
894	4137	485
895	4142	480
896	4146	476
897	4151	471
898	4155	466
899	4160	462
900	4165	457
901	4170	453
902	4174	448
903	4179	443
904	4184	439
905	4188	434
906	4193	429
907	4197	425
908	4201	420
909	4206	416
910	4210	411
911	4215	406
912	4219	402
913	4223	397
914	4228	392
915	4232	388
916	4237	383
917	4241	378
918	4245	374
919	4250	369
920	4254	364
921	4258	360
922	4262	355
923	4267	350
924	4272	346
925	4276	341
926	4281	337
927	4286	332
928	4290	327
929	4295	323
930	4300	318
931	4304	314
932	4309	309
933	4314	304
934	4318	300
935	4323	295
936	4327	290
937	4332	286
938	4336	281
939	4341	277
940	4345	272
941	4350	267
942	4355	263
943	4359	258
944	4364	254
945	4368	249
946	4372	244
947	4377	240
948	4381	235
949	4386	230
950	4390	226
951	4394	221
952	4399	216
953	4403	212
954	4408	207
955	4412	203
956	4417	198
957	4421	193
958	4426	189
959	4430	184
960	4435	179
961	4439	175
962	4444	170
963	4448	166
964	4453	161
965	4457	156
966	4462	152
967	4467	147
968	4471	143
969	4476	138
970	4480	133
971	4485	129
972	4489	124
973	4494	119
974	4498	115
975	4503	110
976	4507	106
977	4512	101
978	4516	96
979	4521	92
